Local time,Ask,Bid,AskVolume,BidVolume
19.04.2021 08:01:22.372 GMT+0100,3549.385,3531.656,0.01,0.01
19.04.2021 08:01:22.517 GMT+0100,3550,3544.5740000000005,0.01,0.01
19.04.2021 08:01:24.149 GMT+0100,3550.426,3543.656,0.01,0.01
19.04.2021 08:01:25.576 GMT+0100,3549.303,3540.82,0.01,0.01
19.04.2021 08:01:25.652 GMT+0100,3550,3540.7790000000005,0.01,0.01
19.04.2021 08:01:54.235 GMT+0100,3549,3540.451,0.01,0.01
19.04.2021 08:01:56.059 GMT+0100,3550.221,3540.451,0.01,0.01
19.04.2021 08:02:00.750 GMT+0100,3549.385,3540.6150000000002,0.01,0.01
19.04.2021 08:02:00.951 GMT+0100,3545.5490000000004,3540.5740000000005,0.01,0.01
19.04.2021 08:02:04.021 GMT+0100,3545.303,3532.738,0.01,0.01
19.04.2021 08:02:14.125 GMT+0100,3545.262,3530.492,0.01,0.01
19.04.2021 08:02:14.175 GMT+0100,3540.508,3529.451,0.01,0.01
19.04.2021 08:02:26.557 GMT+0100,3540.467,3532.82,0.01,0.01
19.04.2021 08:03:02.844 GMT+0100,3538.385,3525.5740000000005,0.01,0.01
19.04.2021 08:03:04.222 GMT+0100,3535,3521.656,0.01,0.01
19.04.2021 08:03:05.346 GMT+0100,3533.262,3521.7790000000005,0.01,0.01
19.04.2021 08:03:14.844 GMT+0100,3533.508,3522.492,0.01,0.01
19.04.2021 08:03:14.895 GMT+0100,3533.508,3521.533,0.01,0.01
19.04.2021 08:03:20.401 GMT+0100,3533.467,3522.6150000000002,0.01,0.01
19.04.2021 08:03:20.451 GMT+0100,3533.5490000000004,3522,0.01,0.01
19.04.2021 08:03:27.184 GMT+0100,3533.5490000000004,3523.7790000000005,0.01,0.01
19.04.2021 08:06:06.917 GMT+0100,3525.262,3513.656,0.01,0.01
19.04.2021 08:06:07.117 GMT+0100,3522.508,3515.6150000000002,0.02,0.0075
19.04.2021 08:06:07.616 GMT+0100,3525.467,3515.7790000000005,0.02,0.02
19.04.2021 08:06:09.617 GMT+0100,3525.221,3521.533,0.0075,0.0075
19.04.2021 08:06:09.716 GMT+0100,3531.221,3521.6150000000002,0.02,0.02
19.04.2021 08:06:13.058 GMT+0100,3531.262,3523.5740000000005,0.02,0.02
19.04.2021 08:06:26.119 GMT+0100,3531,3522.7790000000005,0.02,0.02
19.04.2021 08:06:26.169 GMT+0100,3530.221,3522.5740000000005,0.02,0.02
19.04.2021 08:06:56.995 GMT+0100,3530.5490000000004,3525.82,0.02,0.02
19.04.2021 08:06:57.099 GMT+0100,3531.5490000000004,3526.738,0.02,0.02
19.04.2021 08:06:57.254 GMT+0100,3531.467,3522.451,0.02,0.02
19.04.2021 08:07:04.892 GMT+0100,3531.5490000000004,3524.492,0.02,0.0075
19.04.2021 08:07:04.942 GMT+0100,3533.385,3524.82,0.02,0.02
19.04.2021 08:07:07.266 GMT+0100,3532.467,3524.533,0.02,0.02
19.04.2021 08:07:09.941 GMT+0100,3532.5490000000004,3525.492,0.02,0.0075
19.04.2021 08:07:09.991 GMT+0100,3532,3524.451,0.02,0.02
19.04.2021 08:07:10.042 GMT+0100,3532.1800000000003,3526.533,0.02,0.02
19.04.2021 08:07:15.217 GMT+0100,3533,3526.451,0.02,0.02
19.04.2021 08:07:41.421 GMT+0100,3533.303,3526,0.02,0.02
19.04.2021 08:07:41.471 GMT+0100,3533.508,3527.6150000000002,0.02,0.02
19.04.2021 08:07:54.068 GMT+0100,3533.303,3528.6150000000002,0.02,0.0075
19.04.2021 08:07:57.562 GMT+0100,3533.262,3525.451,0.02,0.02
19.04.2021 08:08:15.200 GMT+0100,3532,3525.656,0.0075,0.02
19.04.2021 08:08:29.492 GMT+0100,3530.5490000000004,3525.7790000000005,0.0075,0.0075
19.04.2021 08:08:29.542 GMT+0100,3529.262,3521.6150000000002,0.02,0.02
19.04.2021 08:08:58.490 GMT+0100,3529,3525.5740000000005,0.02,0.0075
19.04.2021 08:08:59.720 GMT+0100,3529.5490000000004,3521.451,0.02,0.02
19.04.2021 08:09:01.887 GMT+0100,3529.303,3525,0.02,0.0075
19.04.2021 08:09:31.760 GMT+0100,3529.262,3523.5740000000005,0.02,0.02
19.04.2021 08:09:42.148 GMT+0100,3529.5490000000004,3524.5740000000005,0.02,0.02
19.04.2021 08:09:52.991 GMT+0100,3529.385,3523.697,0.02,0.02
19.04.2021 08:10:21.320 GMT+0100,3529.303,3524.6150000000002,0.02,0.0075
