Local time,Ask,Bid,AskVolume,BidVolume
13.04.2021 08:00:26.761 GMT+0100,3451.1800000000003,3441,0.0075,0.02
13.04.2021 08:00:27.265 GMT+0100,3448,3440.492,0.0075,0.0075
13.04.2021 08:00:27.316 GMT+0100,3448.426,3433.492,0.02,0.02
13.04.2021 08:00:27.374 GMT+0100,3447.262,3433.82,0.0075,0.02
13.04.2021 08:00:27.585 GMT+0100,3447.467,3431.6150000000002,0.02,0.02
13.04.2021 08:00:27.644 GMT+0100,3444.221,3431.7790000000005,0.02,0.02
13.04.2021 08:00:28.200 GMT+0100,3442.5490000000004,3431.738,0.0075,0.0075
13.04.2021 08:00:28.250 GMT+0100,3442.1800000000003,3429.533,0.02,0.02
13.04.2021 08:00:28.400 GMT+0100,3442.303,3427.697,0.02,0.02
13.04.2021 08:00:28.451 GMT+0100,3442.221,3429.451,0.02,0.02
13.04.2021 08:00:28.732 GMT+0100,3444.5490000000004,3429.82,0.02,0.02
13.04.2021 08:00:29.409 GMT+0100,3444.467,3431.451,0.0075,0.0075
13.04.2021 08:00:29.459 GMT+0100,3446.508,3431.7790000000005,0.02,0.02
13.04.2021 08:00:40.145 GMT+0100,3448.3440000000005,3433.697,0.02,0.02
13.04.2021 08:00:40.273 GMT+0100,3447.426,3434,0.0075,0.02
13.04.2021 08:01:13.358 GMT+0100,3446.385,3433.7790000000005,0.0075,0.02
13.04.2021 08:01:22.103 GMT+0100,3444.221,3433.7790000000005,0.0075,0.02
13.04.2021 08:01:22.153 GMT+0100,3442.221,3425.533,0.02,0.02
13.04.2021 08:01:22.249 GMT+0100,3439.508,3425.82,0.0075,0.02
13.04.2021 08:01:22.524 GMT+0100,3439.467,3423.533,0.02,0.02
13.04.2021 08:01:24.177 GMT+0100,3439.3440000000005,3421.5740000000005,0.02,0.02
13.04.2021 08:01:24.278 GMT+0100,3437.303,3422,0.02,0.02
13.04.2021 08:01:40.541 GMT+0100,3434.5490000000004,3421.738,0.0075,0.0075
13.04.2021 08:01:40.592 GMT+0100,3434.1800000000003,3416.656,0.02,0.02
13.04.2021 08:01:41.278 GMT+0100,3432.467,3416.5740000000005,0.0075,0.02
13.04.2021 08:01:41.765 GMT+0100,3433.5490000000004,3416.492,0.02,0.02
13.04.2021 08:01:43.622 GMT+0100,3433,3414.738,0.02,0.02
13.04.2021 08:01:43.673 GMT+0100,3433,3413.451,0.02,0.02
13.04.2021 08:01:43.723 GMT+0100,3431,3413.492,0.02,0.02
13.04.2021 08:01:44.287 GMT+0100,3431.426,3410.697,0.02,0.02
13.04.2021 08:01:44.764 GMT+0100,3429.426,3410.451,0.0075,0.02
13.04.2021 08:01:45.875 GMT+0100,3428,3410.533,0.02,0.02
13.04.2021 08:01:50.676 GMT+0100,3428.303,3411.492,0.02,0.0075
13.04.2021 08:01:50.727 GMT+0100,3428.221,3410.5740000000005,0.02,0.02
13.04.2021 08:01:56.156 GMT+0100,3426.303,3412.6150000000002,0.0075,0.0075
13.04.2021 08:01:58.165 GMT+0100,3425,3412.738,0.02,0.02
13.04.2021 08:02:00.315 GMT+0100,3424.3440000000005,3412.492,0.02,0.02
13.04.2021 08:02:08.462 GMT+0100,3424.467,3413.82,0.02,0.02
13.04.2021 08:02:10.659 GMT+0100,3437.3440000000005,3414.6150000000002,0.02,0.02
13.04.2021 08:02:10.763 GMT+0100,3430.303,3414.7790000000005,0.02,0.02
13.04.2021 08:02:10.906 GMT+0100,3430.5490000000004,3413.82,0.02,0.02
13.04.2021 08:02:12.504 GMT+0100,3430.221,3414.7790000000005,0.02,0.02
13.04.2021 08:02:12.632 GMT+0100,3440.221,3416.451,0.02,0.02
13.04.2021 08:02:12.682 GMT+0100,3444.467,3423,0.02,0.02
13.04.2021 08:02:15.430 GMT+0100,3444.5490000000004,3420.656,0.02,0.02
13.04.2021 08:02:23.540 GMT+0100,3444.3440000000005,3424.5740000000005,0.02,0.0075
13.04.2021 08:02:26.912 GMT+0100,3439.221,3424.533,0.0075,0.02
13.04.2021 08:02:56.207 GMT+0100,3437.1800000000003,3426.7790000000005,0.02,0.02
13.04.2021 08:02:56.312 GMT+0100,3437.426,3426,0.02,0.02
13.04.2021 08:03:05.856 GMT+0100,3437.262,3427.5740000000005,0.02,0.0075
13.04.2021 08:03:06.115 GMT+0100,3437.426,3426.7790000000005,0.02,0.02
13.04.2021 08:03:07.060 GMT+0100,3437.467,3429,0.02,0.0075
13.04.2021 08:03:13.796 GMT+0100,3437,3426,0.02,0.02
13.04.2021 08:03:14.110 GMT+0100,3435.3440000000005,3425.7790000000005,0.0075,0.02
13.04.2021 08:03:20.238 GMT+0100,3435.5490000000004,3424.738,0.02,0.02
13.04.2021 08:03:30.671 GMT+0100,3433.426,3423.738,0.02,0.02
13.04.2021 08:03:32.898 GMT+0100,3434.221,3424,0.02,0.02
13.04.2021 08:03:32.948 GMT+0100,3436,3426.6150000000002,0.02,0.02
13.04.2021 08:03:32.999 GMT+0100,3437.426,3426.492,0.02,0.02
13.04.2021 08:03:33.049 GMT+0100,3443,3434.7790000000005,0.02,0.02
13.04.2021 08:03:33.099 GMT+0100,3439,3428.451,0.02,0.02
13.04.2021 08:03:33.153 GMT+0100,3440.262,3428.533,0.02,0.02
13.04.2021 08:03:37.910 GMT+0100,3441.1800000000003,3428.697,0.0075,0.02
13.04.2021 08:03:38.010 GMT+0100,3440.467,3428.656,0.02,0.02
13.04.2021 08:03:38.114 GMT+0100,3441.385,3428.82,0.02,0.02
13.04.2021 08:03:44.334 GMT+0100,3440.426,3428.697,0.0075,0.02
