Local time,Ask,Bid,AskVolume,BidVolume
30.04.2021 08:00:20.133 GMT+0100,3290.181,3262.6140000000005,0.02,0.02
30.04.2021 08:00:20.234 GMT+0100,3280.3450000000003,3271.655,0.02,0.02
30.04.2021 08:00:21.952 GMT+0100,3280.427,3262.491,0.02,0.02
30.04.2021 08:00:23.772 GMT+0100,3279.0009999999997,3262.4500000000003,0.0075,0.02
30.04.2021 08:00:24.081 GMT+0100,3280.55,3262.696,0.02,0.02
30.04.2021 08:00:24.240 GMT+0100,3277.427,3262.737,0.0075,0.02
30.04.2021 08:00:24.478 GMT+0100,3277.5090000000005,3257.573,0.02,0.02
30.04.2021 08:00:28.031 GMT+0100,3276.3450000000003,3257.737,0.0075,0.02
30.04.2021 08:00:28.198 GMT+0100,3277.386,3257.491,0.02,0.02
30.04.2021 08:00:28.248 GMT+0100,3275.3450000000003,3257.491,0.02,0.02
30.04.2021 08:00:28.778 GMT+0100,3275.263,3254.778,0.02,0.02
30.04.2021 08:00:28.839 GMT+0100,3275.222,3255.573,0.02,0.0075
30.04.2021 08:00:29.570 GMT+0100,3279.5090000000005,3255.8190000000004,0.02,0.02
30.04.2021 08:00:29.752 GMT+0100,3279.5090000000005,3257.737,0.02,0.02
30.04.2021 08:00:30.513 GMT+0100,3278.427,3257.4500000000003,0.02,0.02
30.04.2021 08:00:31.583 GMT+0100,3279.0009999999997,3257.573,0.02,0.02
30.04.2021 08:00:33.919 GMT+0100,3278.386,3258.573,0.0075,0.0075
30.04.2021 08:00:35.040 GMT+0100,3276.0009999999997,3258.573,0.0075,0.02
30.04.2021 08:00:35.473 GMT+0100,3276.55,3252.8190000000004,0.02,0.02
30.04.2021 08:00:35.523 GMT+0100,3275.468,3252.573,0.02,0.02
30.04.2021 08:00:35.840 GMT+0100,3268.5090000000005,3253.778,0.02,0.02
30.04.2021 08:00:36.625 GMT+0100,3268.222,3252.778,0.02,0.02
30.04.2021 08:00:37.565 GMT+0100,3268.3450000000003,3253.696,0.02,0.0075
30.04.2021 08:00:37.710 GMT+0100,3268.0009999999997,3254.8190000000004,0.02,0.02
30.04.2021 08:00:40.035 GMT+0100,3268.427,3255.9990000000003,0.02,0.02
30.04.2021 08:00:40.436 GMT+0100,3268.0009999999997,3264.532,0.02,0.02
30.04.2021 08:00:41.078 GMT+0100,3267.0009999999997,3264.655,0.0075,0.02
30.04.2021 08:00:50.089 GMT+0100,3268.304,3264.778,0.02,0.02
30.04.2021 08:00:55.730 GMT+0100,3268.3450000000003,3255.573,0.02,0.02
30.04.2021 08:00:56.121 GMT+0100,3268.0009999999997,3254.655,0.02,0.02
30.04.2021 08:01:00.090 GMT+0100,3268.468,3245.9990000000003,0.02,0.02
30.04.2021 08:01:00.227 GMT+0100,3268.3450000000003,3244.4500000000003,0.02,0.02
30.04.2021 08:01:01.263 GMT+0100,3268.3450000000003,3256.737,0.02,0.02
30.04.2021 08:01:05.033 GMT+0100,3262.5090000000005,3256.9990000000003,0.0075,0.02
30.04.2021 08:01:08.883 GMT+0100,3267.181,3257.573,0.02,0.02
30.04.2021 08:01:08.933 GMT+0100,3282.55,3269.6140000000005,0.02,0.02
30.04.2021 08:01:09.185 GMT+0100,3284.0009999999997,3269.4500000000003,0.02,0.02
