Local time,Ask,Bid,AskVolume,BidVolume
27.04.2021 08:00:17.572 GMT+0100,3446.3450000000003,3415.4500000000003,0.02,0.01
27.04.2021 08:00:25.176 GMT+0100,3445.427,3415.6140000000005,0.0075,0.02
27.04.2021 08:00:26.568 GMT+0100,3444.427,3415.6140000000005,0.0075,0.02
27.04.2021 08:00:27.239 GMT+0100,3443.55,3415.491,0.02,0.02
27.04.2021 08:00:29.857 GMT+0100,3442.0009999999997,3415.737,0.0075,0.02
27.04.2021 08:00:31.193 GMT+0100,3441.304,3415.696,0.02,0.02
27.04.2021 08:00:31.653 GMT+0100,3440.468,3415.573,0.02,0.02
27.04.2021 08:00:31.865 GMT+0100,3439.386,3415.4500000000003,0.02,0.02
27.04.2021 08:00:32.645 GMT+0100,3438.3450000000003,3415.696,0.0075,0.02
27.04.2021 08:00:39.018 GMT+0100,3437.0009999999997,3415.6140000000005,0.02,0.02
27.04.2021 08:00:39.197 GMT+0100,3438.263,3415.8190000000004,0.02,0.02
27.04.2021 08:00:39.247 GMT+0100,3435.222,3415.696,0.02,0.02
27.04.2021 08:00:39.351 GMT+0100,3435.222,3416.778,0.02,0.02
27.04.2021 08:00:41.580 GMT+0100,3434.386,3416.532,0.02,0.02
27.04.2021 08:00:51.979 GMT+0100,3430.263,3416.737,0.0075,0.02
27.04.2021 08:00:52.223 GMT+0100,3429.386,3416.9990000000003,0.02,0.02
27.04.2021 08:01:01.503 GMT+0100,3427.55,3416.8190000000004,0.0075,0.02
27.04.2021 08:01:01.665 GMT+0100,3426.222,3416.696,0.0075,0.0075
27.04.2021 08:01:01.715 GMT+0100,3426.468,3415.9990000000003,0.02,0.02
27.04.2021 08:01:02.222 GMT+0100,3425.5090000000005,3415.778,0.02,0.02
27.04.2021 08:01:12.598 GMT+0100,3424.386,3415.573,0.0075,0.0075
27.04.2021 08:01:12.648 GMT+0100,3424.181,3406.655,0.02,0.02
27.04.2021 08:01:13.222 GMT+0100,3423.468,3406.4500000000003,0.0075,0.0075
27.04.2021 08:01:13.851 GMT+0100,3423.222,3395.655,0.02,0.0075
27.04.2021 08:01:14.701 GMT+0100,3423.181,3396.6140000000005,0.02,0.02
27.04.2021 08:01:15.027 GMT+0100,3422.386,3396.4500000000003,0.0075,0.02
27.04.2021 08:01:15.078 GMT+0100,3423.427,3396.655,0.02,0.02
27.04.2021 08:01:15.273 GMT+0100,3422.181,3396.6140000000005,0.02,0.02
27.04.2021 08:01:16.193 GMT+0100,3416.3450000000003,3396.491,0.0075,0.02
27.04.2021 08:01:19.198 GMT+0100,3414.5090000000005,3396.573,0.0075,0.02
27.04.2021 08:01:22.193 GMT+0100,3423.386,3396.532,0.02,0.02
27.04.2021 08:01:22.246 GMT+0100,3417.304,3396.491,0.02,0.02
27.04.2021 08:01:25.546 GMT+0100,3416.0009999999997,3396.4500000000003,0.0075,0.02
27.04.2021 08:01:25.646 GMT+0100,3415.304,3396.532,0.02,0.02
27.04.2021 08:01:29.776 GMT+0100,3414.181,3396.696,0.0075,0.02
27.04.2021 08:01:31.576 GMT+0100,3413.222,3396.737,0.0075,0.02
27.04.2021 08:01:52.909 GMT+0100,3423.222,3398.778,0.02,0.02
27.04.2021 08:01:53.059 GMT+0100,3419.304,3397.655,0.02,0.02
27.04.2021 08:01:53.160 GMT+0100,3418.181,3398.737,0.02,0.02
27.04.2021 08:01:59.838 GMT+0100,3418.181,3399.8190000000004,0.02,0.0075
27.04.2021 08:02:01.631 GMT+0100,3418.386,3400.532,0.02,0.0075
27.04.2021 08:02:02.992 GMT+0100,3416.222,3400.532,0.0075,0.0075
27.04.2021 08:02:03.043 GMT+0100,3416.55,3396.8190000000004,0.02,0.02
27.04.2021 08:02:04.847 GMT+0100,3416.263,3404.778,0.02,0.0075
27.04.2021 08:03:09.247 GMT+0100,3416.0009999999997,3398.8190000000004,0.01,0.01
27.04.2021 08:03:09.297 GMT+0100,3416.386,3399.532,0.02,0.02
27.04.2021 08:03:09.559 GMT+0100,3416.386,3407.532,0.02,0.0075
27.04.2021 08:03:10.360 GMT+0100,3417.386,3407.737,0.02,0.02
27.04.2021 08:03:18.078 GMT+0100,3414.386,3396.655,0.02,0.02
27.04.2021 08:03:24.466 GMT+0100,3414.55,3392.6140000000005,0.02,0.02
27.04.2021 08:03:27.461 GMT+0100,3413.55,3392.778,0.0075,0.02
27.04.2021 08:03:28.768 GMT+0100,3411.5090000000005,3392.532,0.0075,0.02
27.04.2021 08:03:29.717 GMT+0100,3399.468,3392,0.0075,0.0075
27.04.2021 08:03:29.868 GMT+0100,3399.222,3374.778,0.02,0.02
27.04.2021 08:03:30.840 GMT+0100,3395.181,3371.737,0.02,0.02
27.04.2021 08:03:32.467 GMT+0100,3392.0009999999997,3372.778,0.0075,0.02
27.04.2021 08:03:32.580 GMT+0100,3392.181,3378.532,0.02,0.0075
27.04.2021 08:03:41.479 GMT+0100,3395.468,3378.9990000000003,0.02,0.02
27.04.2021 08:03:41.651 GMT+0100,3407.304,3379.573,0.02,0.02
27.04.2021 08:03:50.088 GMT+0100,3407.3450000000003,3380.8190000000004,0.02,0.0075
27.04.2021 08:03:51.642 GMT+0100,3407.3450000000003,3381.6140000000005,0.02,0.0075
27.04.2021 08:03:58.401 GMT+0100,3399.55,3381.696,0.02,0.02
27.04.2021 08:04:07.210 GMT+0100,3397.304,3381.778,0.02,0.02
27.04.2021 08:04:25.202 GMT+0100,3393.263,3378.8190000000004,0.02,0.02
27.04.2021 08:04:25.302 GMT+0100,3403.468,3379.4500000000003,0.02,0.02
27.04.2021 08:04:25.353 GMT+0100,3395.0009999999997,3379.491,0.02,0.02
27.04.2021 08:04:25.403 GMT+0100,3396.3450000000003,3379.4500000000003,0.02,0.02
27.04.2021 08:04:25.453 GMT+0100,3395.0009999999997,3379.737,0.02,0.02
27.04.2021 08:04:25.585 GMT+0100,3393.263,3379.4500000000003,0.02,0.02
27.04.2021 08:04:25.966 GMT+0100,3393.427,3375.8190000000004,0.02,0.02
27.04.2021 08:04:26.066 GMT+0100,3390.181,3372.696,0.02,0.02
27.04.2021 08:04:26.308 GMT+0100,3390.386,3369.532,0.02,0.02
27.04.2021 08:04:26.359 GMT+0100,3387.386,3369.696,0.02,0.02
27.04.2021 08:04:28.416 GMT+0100,3386.5090000000005,3369.491,0.02,0.02
27.04.2021 08:04:35.372 GMT+0100,3385.55,3369.491,0.0075,0.0075
27.04.2021 08:04:35.422 GMT+0100,3385.0009999999997,3364.4500000000003,0.02,0.02
27.04.2021 08:04:35.472 GMT+0100,3384.263,3364.8190000000004,0.02,0.02
27.04.2021 08:04:35.580 GMT+0100,3383.5090000000005,3364.737,0.0075,0.02
27.04.2021 08:04:52.124 GMT+0100,3382.3450000000003,3364.573,0.02,0.02
27.04.2021 08:04:52.241 GMT+0100,3381.427,3364.9990000000003,0.02,0.02
27.04.2021 08:05:02.545 GMT+0100,3368.0009999999997,3337.491,0.02,0.02
27.04.2021 08:05:02.897 GMT+0100,3367.55,3344.4500000000003,0.02,0.02
27.04.2021 08:05:03.223 GMT+0100,3367.222,3345.532,0.02,0.0075
27.04.2021 08:05:05.366 GMT+0100,3366.304,3345.573,0.02,0.02
27.04.2021 08:05:07.688 GMT+0100,3365.427,3345.491,0.02,0.02
27.04.2021 08:05:24.335 GMT+0100,3364.0009999999997,3345.737,0.0075,0.02
27.04.2021 08:05:24.435 GMT+0100,3364.0009999999997,3344.6140000000005,0.02,0.02
27.04.2021 08:05:24.485 GMT+0100,3361.304,3344.532,0.02,0.02
27.04.2021 08:05:35.017 GMT+0100,3377.181,3361.573,0.02,0.02
27.04.2021 08:05:35.768 GMT+0100,3374.5090000000005,3361.778,0.0075,0.02
27.04.2021 08:05:40.564 GMT+0100,3377.427,3361.6140000000005,0.02,0.02
27.04.2021 08:05:40.665 GMT+0100,3382.263,3366.778,0.02,0.02
27.04.2021 08:05:40.766 GMT+0100,3387.386,3365.4500000000003,0.02,0.02
27.04.2021 08:05:40.816 GMT+0100,3383.427,3367.9990000000003,0.02,0.02
27.04.2021 08:05:40.917 GMT+0100,3382.222,3367.6140000000005,0.02,0.02
27.04.2021 08:05:41.023 GMT+0100,3380.468,3372.737,0.02,0.0075
27.04.2021 08:05:45.108 GMT+0100,3380.181,3373.573,0.02,0.02
27.04.2021 08:05:50.756 GMT+0100,3388.386,3373.532,0.02,0.02
27.04.2021 08:05:50.862 GMT+0100,3396.468,3373.655,0.02,0.02
27.04.2021 08:05:50.912 GMT+0100,3396.222,3376.9990000000003,0.02,0.02
27.04.2021 08:05:51.081 GMT+0100,3396.222,3377.737,0.02,0.0075
27.04.2021 08:05:52.057 GMT+0100,3396.181,3376.532,0.02,0.02
27.04.2021 08:05:53.968 GMT+0100,3396.427,3378.737,0.02,0.0075
27.04.2021 08:05:54.244 GMT+0100,3389.0009999999997,3378.532,0.0075,0.02
27.04.2021 08:06:10.593 GMT+0100,3388.304,3364.737,0.02,0.02
27.04.2021 08:06:10.643 GMT+0100,3383.304,3361.737,0.02,0.02
27.04.2021 08:06:10.817 GMT+0100,3374.468,3361.655,0.0075,0.02
27.04.2021 08:06:10.868 GMT+0100,3376.304,3361.778,0.02,0.02
27.04.2021 08:06:10.918 GMT+0100,3374.386,3361.4500000000003,0.02,0.02
27.04.2021 08:06:11.109 GMT+0100,3376.3450000000003,3361.8190000000004,0.02,0.02
27.04.2021 08:06:11.222 GMT+0100,3374.263,3361.573,0.0075,0.02
27.04.2021 08:06:11.439 GMT+0100,3376.386,3361.9990000000003,0.02,0.02
27.04.2021 08:06:13.003 GMT+0100,3374.386,3361.9990000000003,0.0075,0.02
27.04.2021 08:06:15.646 GMT+0100,3373.468,3361.696,0.0075,0.02
27.04.2021 08:06:15.696 GMT+0100,3374.386,3361.6140000000005,0.02,0.02
27.04.2021 08:06:18.797 GMT+0100,3372.55,3361.573,0.02,0.02
27.04.2021 08:06:23.307 GMT+0100,3371.468,3361.778,0.0075,0.02
27.04.2021 08:06:37.922 GMT+0100,3370.181,3361.9990000000003,0.02,0.02
27.04.2021 08:06:38.147 GMT+0100,3368.3450000000003,3361.9990000000003,0.0075,0.02
27.04.2021 08:06:44.290 GMT+0100,3371.263,3361.532,0.02,0.02
27.04.2021 08:06:44.390 GMT+0100,3372.222,3361.9990000000003,0.02,0.02
