Local time,Ask,Bid,AskVolume,BidVolume
01.04.2021 08:00:00.589 GMT+0100,3459.3440000000005,3430.656,0.0075,0.0075
01.04.2021 08:00:00.690 GMT+0100,3450.508,3430.738,0.02,0.02
01.04.2021 08:00:00.962 GMT+0100,3450,3439.738,0.02,0.02
01.04.2021 08:00:01.344 GMT+0100,3450,3430.697,0.02,0.02
01.04.2021 08:00:01.584 GMT+0100,3444.221,3430.5740000000005,0.0075,0.02
01.04.2021 08:00:01.685 GMT+0100,3444.385,3426.6150000000002,0.02,0.02
01.04.2021 08:00:01.971 GMT+0100,3444.3440000000005,3438.5,0.02,0.0075
01.04.2021 08:00:02.219 GMT+0100,3450.467,3438.656,0.02,0.02
01.04.2021 08:00:05.278 GMT+0100,3449.303,3438.697,0.02,0.02
01.04.2021 08:00:05.566 GMT+0100,3450.508,3438.533,0.02,0.02
01.04.2021 08:00:06.921 GMT+0100,3450.303,3439.5740000000005,0.02,0.02
01.04.2021 08:00:07.640 GMT+0100,3450.5490000000004,3438.697,0.02,0.02
01.04.2021 08:00:08.099 GMT+0100,3449.5490000000004,3438.6150000000002,0.02,0.02
01.04.2021 08:00:08.222 GMT+0100,3449.221,3439.5740000000005,0.02,0.02
01.04.2021 08:00:08.272 GMT+0100,3449.5490000000004,3438.7790000000005,0.02,0.02
01.04.2021 08:00:08.415 GMT+0100,3448,3438.533,0.0075,0.02
01.04.2021 08:00:10.022 GMT+0100,3448,3440.697,0.02,0.0075
01.04.2021 08:00:10.122 GMT+0100,3448.221,3439.738,0.02,0.02
01.04.2021 08:00:20.565 GMT+0100,3445.385,3438.451,0.0075,0.02
01.04.2021 08:00:20.666 GMT+0100,3447.221,3439.7790000000005,0.02,0.02
01.04.2021 08:00:20.832 GMT+0100,3443.508,3433.5740000000005,0.02,0.02
01.04.2021 08:00:20.933 GMT+0100,3440.385,3431.697,0.02,0.02
01.04.2021 08:00:21.053 GMT+0100,3440.1800000000003,3430.533,0.02,0.02
01.04.2021 08:00:21.104 GMT+0100,3439.5490000000004,3425.533,0.02,0.02
01.04.2021 08:00:21.175 GMT+0100,3439,3428,0.02,0.0075
01.04.2021 08:00:21.225 GMT+0100,3439.467,3425.451,0.02,0.02
01.04.2021 08:00:21.276 GMT+0100,3438.467,3425.82,0.02,0.02
01.04.2021 08:00:21.482 GMT+0100,3439.467,3425.82,0.02,0.02
01.04.2021 08:00:21.931 GMT+0100,3437.3440000000005,3425.451,0.0075,0.02
01.04.2021 08:00:22.049 GMT+0100,3436.262,3425.6150000000002,0.0075,0.0075
01.04.2021 08:00:22.099 GMT+0100,3436.303,3423.656,0.02,0.02
01.04.2021 08:00:22.778 GMT+0100,3434.221,3422.656,0.02,0.02
01.04.2021 08:00:22.886 GMT+0100,3434.5490000000004,3421.7790000000005,0.02,0.02
01.04.2021 08:00:22.987 GMT+0100,3433.5490000000004,3421.697,0.02,0.02
01.04.2021 08:00:23.105 GMT+0100,3430.508,3411.82,0.02,0.02
01.04.2021 08:00:23.166 GMT+0100,3429.5490000000004,3412,0.0075,0.02
01.04.2021 08:00:23.925 GMT+0100,3429.467,3413.82,0.02,0.0075
01.04.2021 08:00:27.977 GMT+0100,3430.508,3413.656,0.02,0.02
01.04.2021 08:00:29.173 GMT+0100,3428.385,3413.5740000000005,0.0075,0.0075
01.04.2021 08:00:29.223 GMT+0100,3428,3411.492,0.02,0.02
01.04.2021 08:00:31.232 GMT+0100,3430.5490000000004,3411.656,0.02,0.02
01.04.2021 08:00:33.909 GMT+0100,3430.1800000000003,3417.533,0.02,0.0075
01.04.2021 08:00:34.069 GMT+0100,3430.303,3411.738,0.02,0.02
01.04.2021 08:00:34.261 GMT+0100,3428.221,3416.697,0.0075,0.0075
01.04.2021 08:00:34.422 GMT+0100,3428,3411.7790000000005,0.02,0.02
01.04.2021 08:00:35.405 GMT+0100,3430.508,3411.656,0.02,0.02
01.04.2021 08:00:44.127 GMT+0100,3430.5490000000004,3418,0.02,0.02
01.04.2021 08:00:44.290 GMT+0100,3430.426,3412,0.02,0.02
01.04.2021 08:00:44.632 GMT+0100,3427.1800000000003,3412,0.02,0.02
01.04.2021 08:00:44.734 GMT+0100,3430.1800000000003,3418,0.02,0.02
01.04.2021 08:00:45.513 GMT+0100,3430.467,3420.738,0.02,0.02
01.04.2021 08:00:45.563 GMT+0100,3436.303,3425,0.02,0.02
01.04.2021 08:00:45.637 GMT+0100,3437,3424.6150000000002,0.02,0.02
01.04.2021 08:00:45.929 GMT+0100,3438.467,3424.451,0.02,0.02
01.04.2021 08:00:47.464 GMT+0100,3438.3440000000005,3425.656,0.02,0.0075
01.04.2021 08:00:48.860 GMT+0100,3433.3440000000005,3425.656,0.0075,0.0075
01.04.2021 08:00:48.910 GMT+0100,3441.303,3421.451,0.02,0.02
01.04.2021 08:00:49.175 GMT+0100,3439.303,3421.533,0.0075,0.02
01.04.2021 08:00:49.456 GMT+0100,3438.426,3422,0.02,0.02
01.04.2021 08:00:49.711 GMT+0100,3441,3421.5740000000005,0.02,0.02
01.04.2021 08:00:49.943 GMT+0100,3437.1800000000003,3421.697,0.0075,0.02
01.04.2021 08:00:49.994 GMT+0100,3441.3440000000005,3421.533,0.02,0.02
01.04.2021 08:00:51.045 GMT+0100,3436.1800000000003,3422,0.0075,0.02
01.04.2021 08:00:51.498 GMT+0100,3436.508,3423.533,0.0075,0.0075
01.04.2021 08:00:51.548 GMT+0100,3448.303,3423.492,0.02,0.02
01.04.2021 08:00:51.655 GMT+0100,3450.5490000000004,3422.5740000000005,0.02,0.02
01.04.2021 08:00:51.706 GMT+0100,3446.303,3437.7790000000005,0.02,0.02
01.04.2021 08:00:51.894 GMT+0100,3450.385,3437.6150000000002,0.02,0.02
01.04.2021 08:00:51.945 GMT+0100,3450.508,3438.7790000000005,0.02,0.02
01.04.2021 08:00:52.104 GMT+0100,3450.508,3437.5740000000005,0.02,0.02
01.04.2021 08:00:52.840 GMT+0100,3448.221,3437.738,0.0075,0.02
01.04.2021 08:01:10.567 GMT+0100,3450.3440000000005,3438.7790000000005,0.02,0.02
01.04.2021 08:01:10.618 GMT+0100,3450.5490000000004,3439.451,0.02,0.02
01.04.2021 08:01:17.743 GMT+0100,3460.303,3440.5740000000005,0.02,0.02
01.04.2021 08:01:18.283 GMT+0100,3460.467,3440,0.02,0.02
01.04.2021 08:01:18.570 GMT+0100,3456.262,3438.5740000000005,0.0075,0.02
01.04.2021 08:01:54.902 GMT+0100,3455.467,3438.82,0.0075,0.0075
01.04.2021 08:01:54.953 GMT+0100,3455,3437.533,0.02,0.02
01.04.2021 08:01:55.087 GMT+0100,3456.508,3437.656,0.02,0.02
01.04.2021 08:01:56.048 GMT+0100,3453.508,3437.6150000000002,0.0075,0.02
01.04.2021 08:01:56.098 GMT+0100,3454.221,3438,0.02,0.02
01.04.2021 08:01:56.524 GMT+0100,3453.467,3437.656,0.0075,0.02
01.04.2021 08:01:56.850 GMT+0100,3452.262,3437.6150000000002,0.0075,0.02
01.04.2021 08:01:57.327 GMT+0100,3451.221,3437.697,0.0075,0.02
01.04.2021 08:01:57.490 GMT+0100,3447,3437.656,0.02,0.02
01.04.2021 08:01:57.786 GMT+0100,3446.221,3437.492,0.0075,0.02
01.04.2021 08:02:17.745 GMT+0100,3446.303,3438.738,0.02,0.0075
01.04.2021 08:02:17.998 GMT+0100,3446.3440000000005,3437.492,0.02,0.02
01.04.2021 08:02:38.652 GMT+0100,3446.1800000000003,3438.5740000000005,0.02,0.0075
01.04.2021 08:02:38.753 GMT+0100,3446.508,3440,0.02,0.02
01.04.2021 08:02:38.891 GMT+0100,3446.508,3437.5740000000005,0.02,0.02
01.04.2021 08:02:46.371 GMT+0100,3446.3440000000005,3440,0.02,0.0075
01.04.2021 08:02:46.540 GMT+0100,3446.5490000000004,3438.533,0.02,0.02
01.04.2021 08:02:49.087 GMT+0100,3446.467,3437.738,0.02,0.02
01.04.2021 08:03:10.133 GMT+0100,3455.262,3441.738,0.02,0.02
01.04.2021 08:03:10.437 GMT+0100,3455.426,3439.6150000000002,0.02,0.02
01.04.2021 08:03:10.488 GMT+0100,3451.467,3439.738,0.02,0.02
01.04.2021 08:03:11.499 GMT+0100,3450.467,3439.6150000000002,0.0075,0.02
01.04.2021 08:03:20.640 GMT+0100,3450.262,3446.5740000000005,0.0075,0.0075
01.04.2021 08:03:20.691 GMT+0100,3450.385,3438.738,0.02,0.02
01.04.2021 08:03:29.575 GMT+0100,3457.221,3442.492,0.02,0.02
01.04.2021 08:03:29.636 GMT+0100,3457.5490000000004,3443.451,0.02,0.0075
01.04.2021 08:03:30.080 GMT+0100,3457.3440000000005,3442.7790000000005,0.02,0.02
01.04.2021 08:03:31.428 GMT+0100,3452.303,3442.7790000000005,0.0075,0.02
01.04.2021 08:03:34.093 GMT+0100,3452.5490000000004,3441.7790000000005,0.02,0.02
01.04.2021 08:03:37.118 GMT+0100,3452.3440000000005,3440.492,0.02,0.02
01.04.2021 08:03:46.155 GMT+0100,3452.426,3441.7790000000005,0.02,0.0075
01.04.2021 08:03:50.742 GMT+0100,3452.3440000000005,3440.7790000000005,0.02,0.02
01.04.2021 08:03:58.974 GMT+0100,3452.5490000000004,3439.82,0.02,0.02
01.04.2021 08:03:59.243 GMT+0100,3451.426,3440.656,0.02,0.02
01.04.2021 08:03:59.293 GMT+0100,3451.5490000000004,3440,0.02,0.02
01.04.2021 08:04:01.086 GMT+0100,3451.426,3438.492,0.02,0.02
01.04.2021 08:04:01.711 GMT+0100,3448.385,3438,0.02,0.02
01.04.2021 08:04:02.357 GMT+0100,3448.508,3439,0.02,0.0075
01.04.2021 08:04:09.074 GMT+0100,3448.508,3438,0.02,0.02
01.04.2021 08:04:10.057 GMT+0100,3448.508,3438.451,0.02,0.0075
01.04.2021 08:04:21.892 GMT+0100,3448.508,3437.656,0.02,0.02
01.04.2021 08:04:26.375 GMT+0100,3448.385,3438.697,0.02,0.0075
01.04.2021 08:05:01.837 GMT+0100,3448.262,3440.82,0.02,0.0075
01.04.2021 08:05:02.731 GMT+0100,3448.5490000000004,3445.451,0.0075,0.0075
01.04.2021 08:05:02.781 GMT+0100,3452.1800000000003,3445.738,0.02,0.02
01.04.2021 08:05:02.885 GMT+0100,3452.385,3443.738,0.02,0.02
01.04.2021 08:05:08.232 GMT+0100,3452.1800000000003,3444.6150000000002,0.02,0.0075
01.04.2021 08:05:08.333 GMT+0100,3452,3443.533,0.02,0.02
01.04.2021 08:05:10.407 GMT+0100,3453,3444,0.02,0.02
01.04.2021 08:05:10.469 GMT+0100,3453.5490000000004,3446.6150000000002,0.02,0.0075
01.04.2021 08:05:10.570 GMT+0100,3453.385,3444.656,0.02,0.02
01.04.2021 08:05:11.036 GMT+0100,3453.5490000000004,3446.5740000000005,0.0075,0.0075
01.04.2021 08:05:11.086 GMT+0100,3458.5490000000004,3446.656,0.02,0.02
01.04.2021 08:05:11.505 GMT+0100,3460.1800000000003,3448.82,0.02,0.02
01.04.2021 08:05:12.134 GMT+0100,3459.426,3448.533,0.0075,0.0075
01.04.2021 08:05:12.185 GMT+0100,3459.221,3446.738,0.02,0.02
01.04.2021 08:05:14.565 GMT+0100,3457,3446.533,0.02,0.02
01.04.2021 08:05:31.104 GMT+0100,3455.5490000000004,3447,0.02,0.02
01.04.2021 08:05:41.014 GMT+0100,3457,3446.6150000000002,0.02,0.02
01.04.2021 08:05:47.973 GMT+0100,3457.221,3451.492,0.0075,0.0075
01.04.2021 08:05:48.023 GMT+0100,3459.5490000000004,3451.5740000000005,0.02,0.02
01.04.2021 08:05:48.308 GMT+0100,3456,3446.533,0.0075,0.0075
01.04.2021 08:05:49.525 GMT+0100,3454.3440000000005,3444.5740000000005,0.0075,0.02
01.04.2021 08:06:02.252 GMT+0100,3454,3446.492,0.02,0.0075
01.04.2021 08:06:02.303 GMT+0100,3454.467,3444.6150000000002,0.02,0.02
01.04.2021 08:07:00.007 GMT+0100,3454.5490000000004,3446.7790000000005,0.02,0.0075
01.04.2021 08:07:05.154 GMT+0100,3454.426,3444.738,0.02,0.02
01.04.2021 08:07:10.657 GMT+0100,3454.5490000000004,3446.7790000000005,0.02,0.0075
01.04.2021 08:07:25.803 GMT+0100,3454.303,3449.7790000000005,0.02,0.02
01.04.2021 08:07:57.859 GMT+0100,3454.303,3445.697,0.02,0.02
01.04.2021 08:07:57.969 GMT+0100,3454.5490000000004,3444.533,0.02,0.02
01.04.2021 08:08:10.528 GMT+0100,3454.426,3446.6150000000002,0.02,0.0075
01.04.2021 08:08:25.664 GMT+0100,3454.1800000000003,3444.656,0.02,0.02
01.04.2021 08:08:26.661 GMT+0100,3453.5490000000004,3444.533,0.02,0.02
01.04.2021 08:08:26.766 GMT+0100,3453.3440000000005,3443.6150000000002,0.02,0.02
01.04.2021 08:08:27.612 GMT+0100,3453.426,3442.7790000000005,0.02,0.02
01.04.2021 08:08:27.663 GMT+0100,3453,3443.656,0.02,0.02
01.04.2021 08:08:28.967 GMT+0100,3453.426,3442.5740000000005,0.02,0.02
01.04.2021 08:08:32.549 GMT+0100,3453.303,3444.738,0.02,0.0075
01.04.2021 08:08:33.066 GMT+0100,3452.262,3444.697,0.02,0.02
01.04.2021 08:08:35.314 GMT+0100,3452.3440000000005,3446.738,0.02,0.0075
01.04.2021 08:08:35.414 GMT+0100,3452.3440000000005,3445.656,0.02,0.02
01.04.2021 08:08:39.548 GMT+0100,3452,3444.738,0.02,0.02
01.04.2021 08:09:20.149 GMT+0100,3452.385,3445.656,0.02,0.0075
01.04.2021 08:09:26.537 GMT+0100,3452.426,3444.82,0.02,0.02
01.04.2021 08:09:26.964 GMT+0100,3452.385,3445.656,0.02,0.0075
01.04.2021 08:09:27.882 GMT+0100,3452.3440000000005,3444.7790000000005,0.02,0.02
01.04.2021 08:09:33.575 GMT+0100,3452.467,3443.451,0.02,0.02
01.04.2021 08:09:56.278 GMT+0100,3452.467,3444.5740000000005,0.02,0.02
01.04.2021 08:10:00.393 GMT+0100,3452.5490000000004,3445.697,0.02,0.0075
01.04.2021 08:10:03.343 GMT+0100,3452.262,3444.492,0.02,0.02
01.04.2021 08:10:23.834 GMT+0100,3451.5490000000004,3443.533,0.02,0.02
01.04.2021 08:10:29.478 GMT+0100,3452.467,3444.492,0.02,0.02
01.04.2021 08:10:37.724 GMT+0100,3452.508,3445.82,0.02,0.0075
01.04.2021 08:10:45.209 GMT+0100,3452.3440000000005,3447.451,0.02,0.02
01.04.2021 08:10:52.750 GMT+0100,3452.5490000000004,3446.738,0.02,0.02
01.04.2021 08:11:15.561 GMT+0100,3452.1800000000003,3445.5740000000005,0.02,0.02
01.04.2021 08:11:17.699 GMT+0100,3452,3446.492,0.02,0.0075
01.04.2021 08:11:28.143 GMT+0100,3452.5490000000004,3447.656,0.02,0.0075
01.04.2021 08:11:32.480 GMT+0100,3452.5490000000004,3446.738,0.02,0.02
01.04.2021 08:11:43.100 GMT+0100,3452.508,3449.533,0.0075,0.0075
01.04.2021 08:11:43.150 GMT+0100,3456.221,3449.533,0.02,0.02
01.04.2021 08:11:43.315 GMT+0100,3456.303,3450.451,0.02,0.0075
01.04.2021 08:11:43.516 GMT+0100,3457.3440000000005,3450.738,0.02,0.02
01.04.2021 08:11:43.566 GMT+0100,3456,3450.7790000000005,0.02,0.02
01.04.2021 08:11:43.764 GMT+0100,3456.221,3448.492,0.02,0.02
01.04.2021 08:11:43.815 GMT+0100,3453.221,3446.7790000000005,0.02,0.02
01.04.2021 08:12:01.724 GMT+0100,3454.385,3446.5740000000005,0.02,0.02
01.04.2021 08:12:01.775 GMT+0100,3456.467,3447.492,0.02,0.02
01.04.2021 08:12:03.513 GMT+0100,3456,3448.738,0.02,0.0075
01.04.2021 08:12:04.815 GMT+0100,3455.221,3448.697,0.02,0.02
01.04.2021 08:12:04.872 GMT+0100,3455.221,3447.492,0.02,0.02
01.04.2021 08:12:15.735 GMT+0100,3455.303,3449,0.02,0.02
01.04.2021 08:12:15.785 GMT+0100,3456.385,3448.6150000000002,0.02,0.02
01.04.2021 08:12:16.512 GMT+0100,3456.3440000000005,3449.7790000000005,0.02,0.0075
01.04.2021 08:12:38.529 GMT+0100,3456.5490000000004,3451.697,0.0075,0.0075
01.04.2021 08:12:38.579 GMT+0100,3459.221,3451.492,0.02,0.02
