Local time,Ask,Bid,AskVolume,BidVolume
14.04.2021 08:00:10.577 GMT+0100,3464.303,3442.492,0.02,0.02
14.04.2021 08:00:11.291 GMT+0100,3464.426,3448.82,0.02,0.02
14.04.2021 08:00:11.392 GMT+0100,3464.508,3452.7790000000005,0.02,0.02
14.04.2021 08:00:12.243 GMT+0100,3464.221,3456.697,0.02,0.02
14.04.2021 08:00:12.293 GMT+0100,3469.5490000000004,3456.6150000000002,0.02,0.02
14.04.2021 08:00:12.465 GMT+0100,3467.467,3454.451,0.02,0.02
14.04.2021 08:00:20.078 GMT+0100,3464.262,3454.7790000000005,0.0075,0.02
14.04.2021 08:00:22.938 GMT+0100,3467.385,3454.533,0.02,0.02
14.04.2021 08:00:32.083 GMT+0100,3465.3440000000005,3454.697,0.0075,0.0075
14.04.2021 08:00:32.133 GMT+0100,3465.262,3452.5740000000005,0.02,0.02
14.04.2021 08:00:32.184 GMT+0100,3463.3440000000005,3452.533,0.02,0.02
14.04.2021 08:00:32.919 GMT+0100,3465.426,3452.492,0.02,0.02
14.04.2021 08:00:35.252 GMT+0100,3463,3452.5740000000005,0.0075,0.02
14.04.2021 08:00:39.248 GMT+0100,3457.303,3452.5740000000005,0.0075,0.0075
14.04.2021 08:00:39.298 GMT+0100,3457.3440000000005,3444.533,0.02,0.02
14.04.2021 08:00:39.413 GMT+0100,3451.385,3444.656,0.0075,0.0075
14.04.2021 08:00:40.256 GMT+0100,3443.1800000000003,3430.656,0.02,0.02
14.04.2021 08:00:40.436 GMT+0100,3443.303,3432.533,0.0075,0.0075
14.04.2021 08:00:40.487 GMT+0100,3445,3432.533,0.02,0.02
14.04.2021 08:00:41.284 GMT+0100,3451.3440000000005,3430.82,0.02,0.02
14.04.2021 08:00:43.785 GMT+0100,3453.221,3430.697,0.02,0.02
14.04.2021 08:00:45.140 GMT+0100,3453.3440000000005,3428.451,0.02,0.02
14.04.2021 08:00:51.712 GMT+0100,3448.3440000000005,3428.7790000000005,0.0075,0.02
14.04.2021 08:00:54.557 GMT+0100,3448.5490000000004,3431.451,0.0075,0.0075
14.04.2021 08:00:54.608 GMT+0100,3455.385,3431.492,0.02,0.02
14.04.2021 08:01:20.041 GMT+0100,3454,3431.492,0.0075,0.02
14.04.2021 08:01:24.431 GMT+0100,3454,3432.656,0.02,0.0075
14.04.2021 08:01:41.853 GMT+0100,3454.3440000000005,3439.697,0.0075,0.0075
14.04.2021 08:01:41.903 GMT+0100,3458.5490000000004,3439.82,0.02,0.02
14.04.2021 08:01:41.953 GMT+0100,3452.5490000000004,3439.656,0.02,0.02
14.04.2021 08:01:42.004 GMT+0100,3458.5490000000004,3439.492,0.02,0.02
14.04.2021 08:01:42.060 GMT+0100,3453.508,3439.7790000000005,0.0075,0.02
14.04.2021 08:01:43.345 GMT+0100,3453,3440.6150000000002,0.0075,0.0075
14.04.2021 08:01:43.396 GMT+0100,3469.508,3446.5740000000005,0.02,0.02
